ID,State Code,County Code,Name,State Name,PWS ID,PWS Name,EPA Region,PWS Type,Population Served Count,Cities Served,Size,Oversample,URL of CCR,Most recent year?,Translation available?,ASCORE,RSCORE,TSCORE
123,24,1,Allegany,Maryland,MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Region 3,Community water system,5703,-,Medium,0,https://www.alleganygov.org/DocumentCenter/View/793,2020,No,0,N/A,0
124,25,17,Middlesex,Massachusetts,MA3274000,SOMERVILLE WATER DEPT. (MWRA),Region 1,Community water system,81322,SOMERVILLE,Large,0,https://www.somervillema.gov/sites/default/files/mwra-water-test-results.pdf,2020,No,0,70.04,0
125,25,23,Plymouth,Massachusetts,MA4219000,NORWELL WATER DEPARTMENT,Region 1,Community water system,11258,NORWELL,Large,0,https://www.townofnorwell.net/sites/g/files/vyhlif1011/f/uploads/norwell_2019_final_-_600_dpi.pdf,2020,No,0,27.32,0
126,25,27,Worcester,Massachusetts,MA2151001,CHERRY VALLEY/ ROCHDALE WATER DISTRICT,Region 1,Community water system,3337,LEICESTER,Medium,0,http://www.cvrwd.com/images/2019_CCR.pdf,2020,No,9.090909091,12.37,0
127,25,17,Middlesex,Massachusetts,MA2002000,ACTON WATER SUPPLY DISTRICT,Region 1,Community water system,20890,ACTON,Large,0,https://www.actonwater.com/assets/media/documents/WaterWords/2020%20Summer%20Water%20Words.pdf,2020,No,40.74074074,3.43,0
128,25,17,Middlesex,Massachusetts,MA3344000,WINCHESTER WATER DEPT,Region 1,Community water system,22800,WINCHESTER,Large,0,http://www.mwra.com/annual/waterreport/2019results/partially-supplied/winchester.pdf,2020,No,0,-1568.41,0
129,25,27,Worcester,Massachusetts,MA2316000,WEBSTER WATER DEPARTMENT,Region 1,Community water system,16767,WEBSTER,Large,0,https://www.webster-ma.gov/DocumentCenter/View/9485/CCR-2019?bidId=,2020,No,7.602339181,-46.55,0
130,25,9,Essex,Massachusetts,MA3254000,ROWLEY WATER DEPARTMENT,Region 1,Community water system,6325,ROWLEY,Medium,0,https://1oua063xni9w4aubv61y61x2-wpengine.netdna-ssl.com/wp-content/uploads/sites/165/2020/06/2019-CCR.pdf,2020,No,3.309692671,24.04,0
131,25,17,Middlesex,Massachusetts,MA3342000,WILMINGTON WATER DEPT,Region 1,Community water system,22325,WILMINGTON,Large,0,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/2019_ccr.pdf,2020,No,0,36.31,0
132,25,27,Worcester,Massachusetts,MA2153000,LEOMINSTER WATER DIVISION,Region 1,Community water system,40490,LEOMINSTER,Large,0,https://www.leominster-ma.gov/civicax/filebank/blobdload.aspx?BlobID=31076,2020,No,0,-262.44,0
133,26,87,Lapeer,Michigan,MI0003780,"LAPEER, CITY OF",Region 5,Community water system,8841,LAPEER,Medium,0,https://cms4.revize.com/revize/lapeer/DPWAnnualWaterQualityReports/Consumer%20Confidence%20Report%20-%202018.pdf,2019,No,14.89361702,-44.18,0
134,26,81,Kent,Michigan,MI0007220,WYOMING,Region 5,Community water system,72125,WYOMING,Large,0,https://www.wyomingmi.gov/Portals/0/Documents/Departments/Utilities/Water_Quality_Report_2019.pdf,2020,Yes,0,-190.06,100
135,26,147,St. Clair,Michigan,MI0004090,MARINE CITY,Region 5,Community water system,4652,MARINE CITY,Medium,0,https://www.cityofmarinecity.org/sites/g/files/vyhlif851/f/uploads/2019_ccr_-_marine_city.pdf,2020,No,19.44444444,14.97,0
136,26,163,Wayne,Michigan,MI0001740,DEARBORN HEIGHTS,Region 5,Community water system,57774,DEARBORN HEIGHTS,Large,0,http://www.ci.dearborn-heights.mi.us/DHT%202017%20CCR%20Report.pdf,2018,No,13.82978723,-1.89,0
137,26,65,Ingham,Michigan,MI0003760,LANSING BOARD OF WATER & LIGHT,Region 5,Community water system,166000,LANSING,Very Large,0,https://www.lbwl.com/sites/default/files/documents/2020-05/wqr2020.pdf,2020,No,0,14.4,0
138,26,125,Oakland,Michigan,MI0005440,PONTIAC,Region 5,Community water system,63398,PONTIAC,Large,0,http://www.pontiac.mi.us/WRC_AnnualReport2018.pdf,2019,No,0,15.61,0
139,27,3,Anoka,Minnesota,MN1020016,Columbia Heights,Region 5,Community water system,20000,Columbia Heights,Large,0,https://cms5.revize.com/revize/columbiaheightsmn/document_center/Sewer%20&%20Water/2019CCR.pdf,2020,No,18.57142857,11.42,0
140,27,139,Scott,Minnesota,MN1700007,Prior Lake,Region 5,Community water system,25282,Prior Lake,Large,0,https://www.cityofpriorlake.com/documents/drinking2019.pdf,2020,No,0,N/A,0
141,27,3,Anoka,Minnesota,MN1020013,Circle Pines,Region 5,Community water system,5023,Circle Pines,Medium,0,https://www.centennialutilities.com/vertical/sites/%7B8FB5412B-3187-4073-A77B-E6FF861B1AAB%7D/uploads/2019_CCR_Water_Report.pdf,2020,No,0,-378.31,0
142,28,153,Wayne,Mississippi,MS0770003,CITY OF WAYNESBORO,Region 4,Community water system,4944,WAYNESBORO,Medium,0,https://msdh.ms.gov/ccr/2019/146840.pdf#page=1,2020,No,0,N/A,0
143,28,121,Rankin,Mississippi,MS0610013,LEESBURG WATER ASSOCIATION,Region 4,Community water system,4170,-,Medium,0,http://www.leesburgwater.com/wp-content/uploads/2020/05/2019CCR.pdf,2020,No,0,-24.64,0
144,28,47,Harrison,Mississippi,MS0240084,CITY OF BILOXI-NORTH,Region 4,Community water system,9606,BILOXI,Medium,0,https://biloxi.ms.us/wp-content/uploads/2020/05/Water-Quality-Report.pdf,2020,No,0,6.71,0
145,28,49,Hinds,Mississippi,MS0250021,REEDTOWN WATER ASSN,Region 4,Community water system,5040,-,Medium,0,https://msdh.ms.gov/ccr/2018/135768.pdf#page=1,2019,No,0,N/A,0
146,28,89,Madison,Mississippi,MS0450007,EAST MADISON WATER ASSN-WEST,Region 4,Community water system,7265,-,Medium,0,https://msdh.ms.gov/ccr/2019/147546.pdf#page=1,2020,No,0,N/A,0
147,29,23,Butler,Missouri,MO4010656,POPLAR BLUFF PWS,Region 7,Community water system,17266,POPLAR BLUFF,Large,0,https://dnr.mo.gov/ccr/MO4010656.pdf,2020,No,3.879310345,12.47,0
148,29,37,Cass,Missouri,MO1024111,CASS COUNTY PWSD 7,Region 7,Community water system,4307,FREEMAN,Medium,0,https://dnr.mo.gov/ccr/MO1024111.pdf,2020,No,4.230769231,13.69,0
149,29,43,Christian,Missouri,MO5010576,NIXA PWS,Region 7,Community water system,21000,NIXA,Large,0,https://dnr.mo.gov/ccr/MO5010576.pdf,2020,No,3.930131004,10.74,0
150,29,71,Franklin,Missouri,MO6024211,FRANKLIN COUNTY PWSD 1,Region 7,Community water system,3500,WASHINGTON,Medium,0,https://dnr.mo.gov/ccr/MO6024211.pdf,2020,No,3.95256917,13.48,0
151,29,83,Henry,Missouri,MO1010177,HENRY COUNTY WATER COMPANY,Region 7,Community water system,9014,CLINTON,Medium,0,https://dnr.mo.gov/ccr/MO1010177.pdf,2020,No,0,27.08,0
152,29,99,Jefferson,Missouri,MO6024300,JEFFERSON CO PWSD  8,Region 7,Community water system,4733,CEDAR HILL,Medium,0,https://dnr.mo.gov/ccr/MO6024300.pdf,2020,No,4.484304933,9.52,0
153,29,71,Franklin,Missouri,MO6024213,FRANKLIN COUNTY PWSD 3,Region 7,Community water system,8250,"GRAY SUMMIT, LABADIE, VILLA RIDGE",Medium,0,https://dnr.mo.gov/ccr/MO6024213.pdf,2020,No,4.132231405,15.41,0
155,31,127,Nemaha,Nebraska,NE3112703,"AUBURN, CITY OF",Region 7,Community water system,3460,AUBURN,Medium,0,https://auburnbpw.com/wp-content/uploads/2020-Quality-on-Tap-report-2019-FY.pdf,2020,No,0,N/A,0
156,31,153,Sarpy,Nebraska,NE3115303,"GRETNA, CITY OF",Region 7,Community water system,10852,GRETNA,Large,0,https://www.gretnane.org/DocumentCenter/View/1730/2019-Quality-Water-Report-PDF?bidId=,2020,No,5.590062112,-137.02,0
157,32,3,Clark,Nevada,NV0000011,BOULDER CITY,Region 9,Community water system,15000,BOULDER CITY,Large,1,http://www.bcnv.org/280/Water-Quality-Consumer-Confidence-Report,2020,No,47.05882353,-38.23,0
158,32,19,Lyon,Nevada,NV0000255,YERINGTON CITY OF,Region 9,Community water system,5050,-,Medium,0,http://www.coypw.com/ccr2019/pdf/ccr_2019_rev_a_yerington_nv.pdf,2020,Yes,0,37.88,100
159,34,25,Monmouth,New Jersey,NJ1340001,RED BANK WATER DEPT,Region 2,Community water system,12520,"FAIR HAVEN BORO-1313, LITTLE SILVER BORO-1323, RED BANK BORO-1340",Large,0,https://www.redbanknj.org/DocumentCenter/View/11018/Water-Quality-Report-for-the-Year-2019,2020,No,6.010928962,-45.47,0
160,34,3,Bergen,New Jersey,NJ0232001,LYNDHURST WATER DEPARTMENT,Region 2,Community water system,20500,LYNDHURST TWP-0232,Large,0,http://www.lyndhurstnj.org/CCR.pdf,2020,No,0,N/A,0
161,34,35,Somerset,New Jersey,NJ0712001,NJ AMERICAN WATER - SHORT HILLS,Region 2,Community water system,217230,"BEDMINSTER TWP.-1801, BELVIDERE TOWN-2103, BERKELEY HEIGHTS TWP.-2001, BERNARDS TWP.-1802, BERNARDSVILLE BORO-1803, CHATHAM BORO-1404, CHESTER TWP.-1407, FAR HILLS BORO-1807, FLORHAM PARK BORO-1411, FRANKLIN TWP.-2105, FRENCHTOWN BORO-1011, HARDING TWP.-1413, HILLSIDE TWP.-2007, IRVINGTON TOWN-0709, LITTLE FALLS TWP.-1605, LIVINGSTON TWP.-0710, MAPLEWOOD TWP.-0711, MENDHAM BORO-1418, MENDHAM TWP.-1419, MILLBURN TWP.-0712, MOUNT OLIVE TWP.-1427, NEW PROVIDENCE BORO-2011, NORTH CALDWELL BORO-0715, OXFORD TWP.-2117, SOUTH ORANGE VILLAGE-0719, SPRINGFIELD TWP.-2017, SUMMIT CITY-2018, UNION TWP-.2019, WARREN TWP.-1820",Very Large,0,https://www.amwater.com/ccr/shorthills.pdf,2020,No,3.649635036,-2.84,0
162,34,41,Warren,New Jersey,NJ2108001,HACKETTSTOWN MUA,Region 2,Community water system,22000,HACKETTSTOWN TOWN-2108,Large,0,http://hmua.com/doc/2019-water-quality-report.pdf,2020,No,23.07692308,23.73,0
163,34,27,Morris,New Jersey,NJ1424001,SOUTHEAST MORRIS COUNTY MUA,Region 2,Community water system,62053,"CHATHAM BORO-1404, HANOVER TWP.-1412, HARDING TWP.-1413, MENDHAM TWP.-1419, MORRIS PLAINS BORO-1423, MORRIS TWP.-1422, MORRISTOWN TOWN-1424",Large,0,https://smcmua.org/2019WaterQualityReport.pdf,2020,No,0.433302383,-159.97,0
164,34,15,Gloucester,New Jersey,NJ0808001,NJ AMERICAN WATER - HARRISON,Region 2,Community water system,9193,HARRISON TWP.-0808,Very Large,0,https://www.amwater.com/ccr/harrison.pdf,2020,No,19.14893617,13.96,0
165,34,11,Cumberland,New Jersey,NJ0610001,MILLVILLE WATER DEPARTMENT,Region 2,Community water system,27500,MILLVILLE CITY-0610,Large,0,http://www.millvillenj.gov/DocumentCenter/View/2589/2019-CCR,2020,No,27.77777778,-46.96,0
166,34,29,Ocean,New Jersey,NJ1525001,POINT PLEASANT BEACH WATER DEPARTMENT,Region 2,Community water system,12000,POINT P. BEACH BORO-1525,Large,0,https://pointpleasantbeach.org/wp-content/uploads/2020/06/WaterReport-2020.pdf,2020,No,0,-156.34,0
168,36,101,Steuben,New York,NY5001212,MORNINGSIDE HEIGHTS WD / ERWIN (T),Region 2,Community water system,4570,ERWIN (T),Medium,0,https://www.erwinny.org/AnnualWaterReport.pdf,2020,No,50,-72.09,0
169,36,83,Rensselaer,New York,NY4100041,HOOSICK FALLS (V) PWS,Region 2,Community water system,4925,HOOSICK FALLS (V),Medium,0,https://www.villageofhoosickfalls.com/Media/PDF/WaterQualityReport2016.pdf,2017,No,0,N/A,0
170,36,103,Suffolk,New York,NY5103705,RIVERHEAD WD,Region 2,Community water system,35000,RIVERHEAD (T),Large,0,https://www.townofriverheadny.gov/files/documents/2019AnnualWaterQualityReport958080430052920AM.pdf,2020,No,16.66666667,-84.78,0
171,36,71,Orange,New York,NY3503531,HARRIMAN VILLAGE,Region 2,Community water system,5000,HARRIMAN (V),Medium,0,https://www.villageofharriman.org/uploads/4/2/9/6/42961709/harriman_awqr_19.pdf,2020,No,29.62962963,-83.97,0
172,36,33,Franklin,New York,NY1600012,TUPPER LAKE V,Region 2,Community water system,5500,TUPPER LAKE (V),Medium,0,https://www.tupperlakeny.gov/vertical/sites/%7BE08972AB-854D-4CB7-B840-09015FB2A25A%7D/uploads/Annual_Water_Quality_Report_2019.pdf,2020,No,0,36.62,0
173,36,59,Nassau,New York,NY2902822,FRANKLIN SQUARE WD,Region 2,Community water system,20000,"HEMPSTEAD (T), STEWART MANOR (V)",Large,0,http://www.fswd.org/wp-content/uploads/2020/06/2019-Water-Quality-Report.pdf,2020,No,11.53846154,-126.9,0
174,36,119,Westchester,New York,NY5903425,CROTON-ON-HUDSON VILLAGE,Region 2,Community water system,8000,CROTON-ON-HUDSON (V),Medium,0,https://www.crotononhudson-ny.gov/sites/g/files/vyhlif441/f/uploads/ny000109_wr.pdf,2020,No,4.90797546,29.25,0
175,36,71,Orange,New York,NY3503554,PORT JERVIS CITY,Region 2,Community water system,9000,PORT JERVIS (C),Medium,0,https://www.portjervisny.org/wp-content/uploads/2020/05/2019-AWQR-Final.pdf,2020,No,55.55555556,-204.66,0
176,36,55,Monroe,New York,NY2704518,ROCHESTER CITY,Region 2,Community water system,214000,ROCHESTER (C),Very Large,0,https://www.cityofrochester.gov/WorkArea/DownloadAsset.aspx?id=21474844274,2020,No,0,6.04,0
177,36,53,Madison,New York,NY2602371,CAZENOVIA VILLAGE,Region 2,Community water system,3635,CAZENOVIA (V),Medium,0,http://villageofcazenovia.com/wp-content/uploads/2020/03/Village-of-Caz-2019-AWQR-.doc,2020,No,24.3902439,-16.61,0
178,36,117,Wayne,New York,NY5821130,ARCADIA-LYONS CSA,Region 2,Community water system,5760,LYONS (T),Medium,0,http://www.wcwsa.org/wqr/arc-lyons.pdf,2020,No,29.41176471,3.09,0
181,36,109,Tompkins,New York,NY5404416,ITHACA CITY,Region 2,Community water system,29457,ITHACA (C),Large,0,https://www.cityofithaca.org/ArchiveCenter/ViewFile/Item/2093,2020,No,19.35483871,-12.48,0
182,37,27,Caldwell,North Carolina,NC0114030,"GRANITE FALLS, TOWN OF",Region 4,Community water system,6386,GRANITE FALLS,Medium,0,https://granitefallsnc.govoffice3.com/vertical/Sites/%7B4576E5AF-4719-425A-8B42-427EECA78B10%7D/uploads/Granite_Falls__Town_of.pdf,2020,No,0,-99.97,0
183,37,179,Union,North Carolina,NC0190413,UNION COUNTY WATER SYSTEM,Region 4,Community water system,134066,MONROE,Very Large,0,https://online.fliphtml5.com/sogm/ekqi/,2020,Yes,0,N/A,100
184,37,175,Transylvania,North Carolina,NC0188010,"BREVARD, CITY OF",Region 4,Community water system,10686,BREVARD,Large,0,https://www.cityofbrevard.com/DocumentCenter/View/2899/2019-Consumer-Confidence-Report-PDF,2020,No,13.79310345,-118.34,0
185,37,31,Carteret,North Carolina,NC0416028,BOGUE BANKS WATER CORPORATION,Region 4,Community water system,4995,EMERALD ISLE,Medium,0,https://boguebankswater.com/documents/175/2019_Water_Quality_Report.pdf,2020,No,14.08450704,-61.81,0
186,37,51,Cumberland,North Carolina,NC5026027,EASTOVER SANITARY DISTRICT,Region 4,Community water system,6705,EASTOVER,Medium,0,https://eastoversanitarydistrict.com/documents/336/CCR_2019.pdf,2020,No,0,N/A,0
187,38,35,Grand Forks,North Dakota,ND1801056,AGASSIZ WATER USERS DISTRICT,Region 8,Community water system,3438,-,Medium,0,http://awud.org/data/_uploaded/reports/2018-water-report.pdf,2019,No,9.375,-321.68,0
188,38,17,Cass,North Dakota,ND0901483,CASS RURAL WATER DISTRICT FARGO,Region 8,Community water system,4242,-,Medium,0,https://www.cassruralwater.com/wp-content/uploads/2019-Water-Quality-Report.pdf,2020,No,0,N/A,0
189,39,71,Highland,Ohio,OH3600614,HILLSBORO CITY,Region 5,Community water system,6650,-,Medium,0,https://www.hillsboroohio.net/egov/documents/1588597994_26398.pdf,2020,No,62.5,-14.75,0
190,39,113,Montgomery,Ohio,OH5701212,MIAMISBURG CITY PWS,Region 5,Community water system,20034,-,Large,0,http://www.ci.miamisburg.oh.us/index.php?option=com_docman&task=doc_download&gid=532&Itemid=119,2020,No,26.66666667,11.72,0
191,39,155,Trumbull,Ohio,OH7803203,TRUMBULL CO.-SOUTHEAST PWS,Region 5,Community water system,8850,-,Medium,0,http://www.sanengr.co.trumbull.oh.us/ccr/SE.pdf,2020,No,52,-48.98,0
192,39,43,Erie,Ohio,OH2201411,SANDUSKY CITY,Region 5,Community water system,25793,-,Large,0,http://www.ci.sandusky.oh.us/Public%20Works/Water%20Quality%20Report%202019.pdf,2020,No,0,6.38,0
194,39,35,Cuyahoga,Ohio,OH1801003,LAKEWOOD CITY PWS,Region 5,Community water system,52100,-,Large,0,http://www.onelakewood.com/wp-content/uploads/2019/05/WaterQualityReport2018.pdf,2019,No,12.17391304,-37.72,0
195,39,39,Defiance,Ohio,OH2000212,HICKSVILLE VILLAGE,Region 5,Community water system,3581,-,Medium,0,https://www.villageofhicksville.com/gov/wp-content/uploads/2020/06/Hicksville-CCR-2019.pdf,2020,No,0,-27.23,0
196,39,61,Hamilton,Ohio,OH3102212,WYOMING CITY PWS,Region 5,Community water system,9700,-,Medium,0,https://wyomingohio.gov/download/Water%20Department/Consumer%20Confidence%20Report/2019-Consumer-Confidence-Report.pdf,2020,No,0,26.07,0
197,40,121,Pittsburg,Oklahoma,OK3006112,ADAMSON RWD #8,Region 6,Community water system,4306,-,Medium,0,https://adamsonwater.com/documents/1019/OK3006112.pdf,2019,No,5.755395683,-6.96,0
198,40,143,Tulsa,Oklahoma,OK3007223,GLENPOOL WATER,Region 6,Community water system,12500,-,Large,0,http://www.cityofglenpool.com/DocumentCenter/View/824/2018-Annual-Water-Quality-Report?bidId=,2018,No,0,N/A,0
199,40,79,Le Flore,Oklahoma,OK3004001,LEFLORE CO. RWD #14,Region 6,Community water system,9077,-,Medium,0,http://sdwis.deq.state.ok.us/DWW/CCReports/OK3004001.pdf,2020,No,0,10.34,0
200,40,121,Pittsburg,Oklahoma,OK3006112,ADAMSON RWD #8,Region 6,Community water system,4306,-,Medium,0,https://adamsonwater.com/documents/1019/OK3006112.pdf,2019,No,5.755395683,-6.96,0
201,40,21,Cherokee,Oklahoma,OK1221637,CHEROKEE CO. RWD #11,Region 6,Community water system,3395,-,Medium,0,http://nebula.wsimg.com/8813102e8ca07d7f15f8dd89dc82c238?AccessKeyId=4AAD35A3C610A37FA19B&disposition=0alloworigin=1,2019,No,3.448275862,-19.25,0
202,41,17,Deschutes,Oregon,OR4100693,REDMOND WATER DEPARTMENT,Region 10,Community water system,27427,-,Large,0,https://www.redmondoregon.gov/home/showdocument?id=21327,2020,No,0,17.85,0
203,41,41,Lincoln,Oregon,OR4100566,"NEWPORT, CITY OF",Region 10,Community water system,10160,-,Large,0,https://www.newportoregon.gov/dept/pwk/documents/2019_Water_Quality_Report.pdf,2020,No,22.80701754,-22.67,0
204,41,39,Lane,Oregon,OR4100246,"CRESWELL, CITY OF",Region 10,Community water system,5075,-,Medium,0,https://www.ci.creswell.or.us/sites/default/files/fileattachments/public_works/page/781/water_quailty_report_2019.pdf,2020,No,18.75,-33.87,0
205,41,41,Lincoln,Oregon,OR4100798,SEAL ROCK WATER DISTRICT,Region 10,Community water system,5500,-,Medium,0,https://www.srwd.org/files/bd7748a0b/SRWD+2019+CCR+200615.pdf,2020,No,15.85365854,35.44,0
206,41,59,Umatilla,Oregon,OR4100914,"UMATILLA, CITY OF",Region 10,Community water system,6980,-,Medium,0,https://www.umatilla-city.org/sites/default/files/fileattachments/utilities/page/711/year2019_ccr_whole.pdf,2020,No,11.81102362,28.64,0
207,41,19,Douglas,Oregon,OR4100957,WINSTON-DILLARD WATER DISTRICT,Region 10,Community water system,8060,-,Medium,0,https://www.wdwd.us/uploads/3/4/5/2/34525748/ccr_2013.pdf,2013,No,22.58064516,0.76,0
208,42,11,Berks,Pennsylvania,PA3060052,CAERNARVON TWP AUTH,Region 3,Community water system,4245,-,Medium,0,http://www.caernarvonwater.com/Documents/CTA2019notice.pdf,2020,No,36.36363636,-22.29,0
209,42,59,Greene,Pennsylvania,PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Community water system,4700,-,Medium,0,http://www.carmichaelswaterauthority.com/wp-content/uploads/2020/05/2019CCR.pdf,2020,No,0,N/A,0
210,42,71,Lancaster,Pennsylvania,PA7360113,EAST COCALICO TOWNSHIP,Region 3,Community water system,6735,-,Medium,0,https://www.eastcocalicotownship.com/sites/eastcocalicopa/files/uploads/ccr2017.pdf,2018,No,0,-904.63,0
211,42,97,Northumberland,Pennsylvania,PA4490023,PA AMERICAN WHITE DEER,Region 3,Community water system,30209,-,Large,0,https://www.amwater.com/ccr/whitedeer.pdf,2020,No,13.26530612,12.94,0
212,42,71,Lancaster,Pennsylvania,PA7360143,WEST EARL WATER AUTHORITY,Region 3,Community water system,4327,-,Medium,0,http://www.westearltwp.org/documents/2019-CCR.pdf,2020,No,5.882352941,-109.82,0
213,42,83,McKean,Pennsylvania,PA6420019,PA AMERICAN WATER CO KANE,Region 3,Community water system,5725,-,Medium,0,https://www.amwater.com/ccr/kane.pdf,2020,No,16.25,17.51,0
214,42,17,Bucks,Pennsylvania,PA1090128,DTMA MAIN SYSTEM,Region 3,Community water system,8655,-,Medium,0,https://doylestownpa.org/wp-content/uploads/2020/06/Water-Quality-Report-PWS1090128-2019.pdf,2020,No,1.882352941,18.8,0
215,45,85,Sumter,South Carolina,SC4320001,DALZELL WATER DISTRICT (SC4320001),Region 4,Community water system,3912,DALZELL,Medium,0,https://www.sumtersc.gov/sites/default/files/uploads/Departments/Water/annual_water_quality_report.pdf,2020,No,0,34.22,0
216,45,63,Lexington,South Carolina,SC3220003,JOINT MUNICIPAL WSC (3220003),Region 4,Community water system,34317,LEXINGTON,Large,0,http://lcjmwsc.com/Data/Sites/1/media/water-quality-report-2019.pdf,2020,No,42.10526316,10.13,0
217,45,47,Greenwood,South Carolina,SC2410001,GREENWOOD CPW (2410001),Region 4,Community water system,47947,GREENWOOD,Large,0,http://greenwoodcpw.com/waterqualityreport.pdf,2020,No,0,15.17,0
218,45,67,Marion,South Carolina,SC3320001,MARCO RURAL WATER CO (SC3320001),Region 4,Community water system,15082,MARION,Large,0,https://marcoruralwater.org/documents/269/2019_CCR.pdf,2020,No,3.802281369,-0.87,0
219,45,77,Pickens,South Carolina,SC3910003,LIBERTY CITY OF (SC3910003),Region 4,Community water system,3338,LIBERTY,Medium,0,https://www.libertysc.com/sites/default/files/uploads/internal/ccr_liberty_2019.pdf,2020,No,66.66666667,-72.53,0
220,45,91,York,South Carolina,SC4610002,ROCK HILL CITY OF (SC4610002),Region 4,Community water system,74377,ROCK HILL,Large,0,https://www.cityofrockhill.com/home/showdocument?id=26616,2020,No,0,-40.52,0
221,46,83,Lincoln,South Dakota,SD4600304,LINCOLN COUNTY RURAL WATER SYSTEM,Region 8,Community water system,5788,"HARRISBURG, SIOUX FALLS",Medium,0,http://www.lincolncoruralwater.com/wp-content/uploads/2020/03/Consumer-Confidence-Report-for-2019.pdf,2020,No,62.5,-387.99,0
222,47,185,White,Tennessee,TN0000569,QUEBECK WALLING UTILITY DIST,Region 4,Community water system,4838,-,Medium,0,http://www.qwudtn.com/wp-content/uploads/2020/03/CCF_000044.pdf,2020,No,0,N/A,0
224,47,187,Williamson,Tennessee,TN0000511,NOLENSVILLE-COLLEGE GROVE UD,Region 4,Community water system,28919,NOLENSVILLE,Large,0,https://www.ncgud.com/wp-content/uploads/2020/06/2019-CCR.pdf,2020,No,0,-33.46,0
225,47,163,Sullivan,Tennessee,TN0000073,BRISTOL DEPTARTMENT OF UTILITIES,Region 4,Community water system,33199,BRISTOL,Large,0,https://www.bristoltn.org/DocumentCenter/View/8665/CCR-final-version,2020,No,0,14.74,0
226,47,65,Hamilton,Tennessee,TN0000037,UNION FORK-BAKEWELL UTILITY DISTRICT,Region 4,Community water system,5223,BAKEWELL,Medium,0,http://ufbud.com/wp-content/uploads/2020/06/UFBUDccr2019.pdf,2020,No,7.425742574,-43.27,0
228,47,53,Gibson,Tennessee,TN0000813,GIBSON CO MUN WATER DIST #4,Region 4,Community water system,3422,TRENTON,Medium,0,https://www.gibsoncountywater.com/documents/311/2019_CCR.pdf,2020,No,0,25.26,0
229,47,163,Sullivan,Tennessee,TN0000349,KINGSPORT WATER DEPT,Region 4,Community water system,103427,KINGSPORT,Very Large,0,https://www.kingsporttn.gov/wp-content/uploads/2020/03/ccr2019.pdf,2020,No,1.569506726,-2.67,0
230,48,453,Travis,Texas,TX2270001,CITY OF AUSTIN WATER & WASTEWATER,Region 6,Community water system,981783,-,Very Large,1,https://www.austintexas.gov/sites/default/files/files/Water/WaterQualityReports/AW_WaterQuality_Report_Austin_2019_FINAL.pdf,2020,Yes,33.33333333,16.29,100
231,48,453,Travis,Texas,TX2270012,LAKEWAY MUD,Region 6,Community water system,10512,-,Large,1,https://179349-522195-raikfcquaxqncofqfm.stackpathdns.com/wp-content/uploads/LMUD-CCR2019.pdf,2020,Yes,11.11111111,9.52,100
232,48,439,Tarrant,Texas,TX2200060,CITY OF LAKE WORTH,Region 6,Community water system,4780,-,Medium,1,https://lakeworthbeachfl.gov/download/2019-annual-drinking-water-quality-report/,2020,Yes,8.333333333,-1.75,100
233,48,215,Hidalgo,Texas,TX1080234,MILITARY HWY WSC PROGRESO,Region 6,Community water system,11247,-,Large,1,https://www.militaryhighwaywsc.org/files.php?id=IdgsKG3KAYXwYwwrDFFQmsoDvmb7UCTJy3GfE5IHn_kYgvpDzAmOX3jSysyYvKXJ8O9ddKJBbcu_SPjQKmsIjjG-RA5UcMFrvIS6hbEPxLYXCtM90m9c7d5GY77qpujyS42WXixUabekopv0R2JBygGhKNv7Ma0K1pLoBUSFhSqyhytWfGkTAm7eJ4vpD08.,2020,No,0,N/A,0
234,48,215,Hidalgo,Texas,TX1080006,MCALLEN PUBLIC UTILITY,Region 6,Community water system,173388,-,Very Large,1,http://mcallenpublicutility.com/wp-content/uploads/2020/04/2019-Water-Quality-Report-Booklet.pdf,2020,No,0,24.58,0
235,48,215,Hidalgo,Texas,TX1080010,CITY OF SAN JUAN,Region 6,Community water system,30027,-,Large,1,https://www.cityofsanjuantexas.com/cosj2/wp-content/uploads/2020/06/CCR_REPORT_2019-3.pdf,2020,No,0,25.97,0
239,48,201,Harris,Texas,TX1010159,HARRIS COUNTY WCID 1,Region 6,Community water system,7311,-,Medium,1,https://www.hcwcid1.com/wp-content/uploads/2020/06/2019-HCWCID-1-Water-Quality-Report.pdf,2020,No,4.411764706,28.85,0
240,48,201,Harris,Texas,TX1010062,CITY OF SEABROOK,Region 6,Community water system,12792,-,Large,1,https://www.seabrooktx.gov/DocumentCenter/View/9323/Water-Quality-Report-2019-PDF?bidId=,2020,No,38.0952381,-83.8,0
242,48,201,Harris,Texas,TX1011256,NORTHWEST FREEWAY MUD,Region 6,Community water system,3558,-,Medium,1,http://www.wq-report.com/nwf.pdf,2020,No,5.524861878,-60.83,0
243,48,201,Harris,Texas,TX1010539,HARRIS COUNTY MUD 1,Region 6,Community water system,9822,-,Medium,1,https://www.hcmud1.com/wp-content/uploads/2019/09/hcmud1_ccr_2018.pdf,2018,No,0,36.62,0
